Date,AU,GB,CH,JP,EU,US,EM
1970-07-01,0.0315789,,,,,0.02936175,
1970-08-01,0.0315789,,,,,0.02936175,
1970-09-01,0.0315789,,,,,0.02936175,
1970-10-01,0.0526317,,,,,0.0299425,
1970-11-01,0.0526317,,,,,0.0299425,
1970-12-01,0.0526317,,,,,0.0299425,
1971-01-01,0.0520833,,,,,0.04459425,0.07
1971-02-01,0.0520833,,,,,0.04459425,0.07
1971-03-01,0.0520833,,,,,0.04459425,0.07
1971-04-01,0.0515464,,,,,0.0445735,0.07
1971-05-01,0.0515464,,,,,0.0445735,0.07
1971-06-01,0.0515464,,,,,0.0445735,0.07
1971-07-01,0.0714286,,,,,0.06018375,0.07
1971-08-01,0.0714286,,,,,0.06018375,0.07
1971-09-01,0.0714286,,,,,0.06018375,0.07
1971-10-01,0.0699999,,,,,0.0582755,0.07
1971-11-01,0.0699999,,,,,0.0582755,0.07
1971-12-01,0.0699999,,,,,0.0582755,0.07
1972-01-01,0.0693066,,,,,0.06106075,0.04
1972-02-01,0.0693066,,,,,0.06106075,0.04
1972-03-01,0.0693066,,,,,0.06106075,0.04
1972-04-01,0.0686279,,,,,0.062375,0.04
1972-05-01,0.0686279,,,,,0.062375,0.04
1972-06-01,0.0686279,,,,,0.062375,0.04
1972-07-01,0.0571429,,,,,0.05760225,0.04
1972-08-01,0.0571429,,,,,0.05760225,0.04
1972-09-01,0.0571429,,,,,0.05760225,0.04
1972-10-01,0.0467288,,,,,0.05649175,0.04
1972-11-01,0.0467288,,,,,0.05649175,0.04
1972-12-01,0.0467288,,,,,0.05649175,0.04
1973-01-01,0.0555563,,,,,0.04641675,0.08
1973-02-01,0.0555563,,,,,0.04641675,0.08
1973-03-01,0.0555563,,,,,0.04641675,0.08
1973-04-01,0.0825679,,,,,0.039669,0.08
1973-05-01,0.0825679,,,,,0.039669,0.08
1973-06-01,0.0825679,,,,,0.039669,0.08
1973-07-01,0.0990988,,,,,0.02341375,0.08
1973-08-01,0.0990988,,,,,0.02341375,0.08
1973-09-01,0.0990988,,,,,0.02341375,0.08
1973-10-01,0.1250001,,,,,0.00661475,0.08
1973-11-01,0.1250001,,,,,0.00661475,0.08
1973-12-01,0.1250001,,,,,0.00661475,0.08
1974-01-01,0.1403505,,,,,0.008416,0.02
1974-02-01,0.1403505,,,,,0.008416,0.02
1974-03-01,0.1403505,,,,,0.008416,0.02
1974-04-01,0.1440683,,,,,0.02262,0.02
1974-05-01,0.1440683,,,,,0.02262,0.02
1974-06-01,0.1440683,,,,,0.02262,0.02
1974-07-01,0.1639343,,,,,0.0170415,0.02
1974-08-01,0.1639343,,,,,0.0170415,0.02
1974-09-01,0.1639343,,,,,0.0170415,0.02
1974-10-01,0.1666664,,,,,-0.00423125,0.02
1974-11-01,0.1666664,,,,,-0.00423125,0.02
1974-12-01,0.1666664,,,,,-0.00423125,0.02
1975-01-01,0.1769233,,,,,0.00548,0.09
1975-02-01,0.1769233,,,,,0.00548,0.09
1975-03-01,0.1769233,,,,,0.00548,0.09
1975-04-01,0.1703706,,,,,0.03574475,0.09
1975-05-01,0.1703706,,,,,0.03574475,0.09
1975-06-01,0.1703706,,,,,0.03574475,0.09
1975-07-01,0.1197187,,,,,0.0621365,0.09
1975-08-01,0.1197187,,,,,0.0621365,0.09
1975-09-01,0.1197187,,,,,0.0621365,0.09
1975-10-01,0.1428577,,,,,0.05370375,0.09
1975-11-01,0.1428577,,,,,0.05370375,0.09
1975-12-01,0.1428577,,,,,0.05370375,0.09
1976-01-01,0.1307188,,,,,0.05638175,-0.02
1976-02-01,0.1307188,,,,,0.05638175,-0.02
1976-03-01,0.1307188,,,,,0.05638175,-0.02
1976-04-01,0.1202532,,,,,0.05344425,-0.02
1976-05-01,0.1202532,,,,,0.05344425,-0.02
1976-06-01,0.1202532,,,,,0.05344425,-0.02
1976-07-01,0.1383644,,,,,0.0526435,-0.02
1976-08-01,0.1383644,,,,,0.0526435,-0.02
1976-09-01,0.1383644,,,,,0.0526435,-0.02
1976-10-01,0.1428571,,,,,0.05254525,-0.02
1976-11-01,0.1428571,,,,,0.05254525,-0.02
1976-12-01,0.1428571,,,,,0.05254525,-0.02
1977-01-01,0.1329475,,,,,0.0572785,0.08
1977-02-01,0.1329475,,,,,0.0572785,0.08
1977-03-01,0.1329475,,,,,0.0572785,0.08
1977-04-01,0.1355932,,,,,0.05772725,0.08
1977-05-01,0.1355932,,,,,0.05772725,0.08
1977-06-01,0.1355932,,,,,0.05772725,0.08
1977-07-01,0.1325967,,,,,0.047549,0.08
