DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
31-01-80,0.055,0.0188,0.0185,0.0745,-0.0056,-0.0184,0.0189
29-02-80,-0.0123,-0.0162,0.0059,0.0789,0.0571,-0.0095,0.0292
31-03-80,-0.1289,-0.0697,-0.0096,-0.0958,0.0605,0.0182,-0.0105
30-04-80,0.0396,0.0105,0.0103,-0.0048,0.0145,-0.0218,0.0034
31-05-80,0.0526,0.02,0.0038,-0.0118,-0.0311,0.0043,-0.0063
30-06-80,0.0297,0.0146,-0.008,0.0158,-0.0011,-0.002,-0.0081
31-07-80,0.0651,0.0374,-0.0629,0.0029,-0.0978,0.0406,-0.0244
31-08-80,0.0175,0.0423,-0.0246,0.0306,-0.0565,0.0205,-0.0073
30-09-80,0.0219,0.0063,-0.0461,0.0543,-0.0518,0.019,-0.0286
31-10-80,0.0104,0.0221,-0.0293,0.0713,-0.0208,0.0177,-0.0143
30-11-80,0.096,-0.0327,-0.0811,0.1515,-0.0515,0.0426,-0.0552
31-12-80,-0.0446,-0.0028,0.028,-0.0671,0.0338,-0.0127,0.0127
31-01-81,-0.0506,0.033,0.0674,-0.0782,0.053,-0.0338,0.0427
28-02-81,0.0061,-0.0065,0.0097,-0.0135,0.0263,0.0026,0.0206
31-03-81,0.0366,0.0285,0.0061,0.0082,-0.093,-0.0227,-0.0056
30-04-81,-0.0216,0.0472,0.0228,-0.0108,-0.0136,0.0081,0.0154
31-05-81,0.0013,0.0236,-0.0043,0.0356,-0.0379,0.0047,-0.0178
30-06-81,-0.0234,-0.0093,0.0514,-0.0567,0.0572,-0.0129,0.0269
31-07-81,-0.0155,-0.0195,-0.0061,-0.0244,-0.0216,0.0108,-0.0266
31-08-81,-0.0702,-0.0182,0.0471,-0.011,0.0587,-0.0031,0.0138
30-09-81,-0.072,-0.0246,0.0511,0.0213,0.0846,0.0008,0.0253
31-10-81,0.0492,0.0228,-0.0409,0.0383,-0.0664,0.0312,-0.0279
30-11-81,0.034,-0.0158,0.0191,-0.0021,0.0369,0.0014,0.01
31-12-81,-0.0363,0.0118,0.0079,0.0128,0.0172,0.0021,0.0245
31-01-82,-0.0323,-0.011,0.0319,0.0177,0.0531,-0.0143,0.0195
